"study","cell_id","design_role","task_type","method","n_calib","rep","planned_units"
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,31,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,32,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,33,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,34,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,35,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,36,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,37,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,38,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,39,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,40,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,41,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,42,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,43,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,44,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,45,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,46,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,47,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,48,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,49,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,50,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,51,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,52,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,53,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,54,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,55,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,56,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,57,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,58,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,59,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,60,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,61,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,62,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,63,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,64,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,65,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,66,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,67,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,68,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,69,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,70,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,71,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,72,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,73,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,74,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,75,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,76,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,77,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,78,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,79,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,80,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,81,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,82,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,83,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,84,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,85,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,86,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,87,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,88,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,89,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,90,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,91,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,92,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,93,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,94,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,95,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,96,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,97,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,98,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,99,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,100,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,1,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,2,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,3,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,4,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,5,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,6,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,7,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,8,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,9,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,10,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,11,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,12,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,13,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,14,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,15,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,16,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,17,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,18,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,19,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,20,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,21,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,22,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,23,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,24,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,25,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,26,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,27,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,28,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,29,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,30,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,31,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,32,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,33,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,34,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,35,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,36,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,37,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,38,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,39,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,40,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,41,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,42,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,43,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,44,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,45,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,46,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,47,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,48,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,49,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,50,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,51,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,52,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,53,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,54,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,55,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,56,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,57,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,58,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,59,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,60,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,61,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,62,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,63,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,64,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,65,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,66,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,67,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,68,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,69,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,70,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,71,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,72,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,73,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,74,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,75,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,76,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,77,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,78,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,79,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,80,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,81,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,82,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,83,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,84,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,85,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,86,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,87,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,88,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,89,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,90,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,91,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,92,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,93,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,94,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,95,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,96,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,97,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,98,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,99,1
"study2","primary_q2","primary_proxy_dimension","prediction_truth","DGM oracle",,100,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,1,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,2,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,3,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,4,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,5,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,6,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,7,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,8,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,9,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,10,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,11,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,12,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,13,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,14,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,15,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,16,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,17,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,18,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,19,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,20,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,21,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,22,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,23,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,24,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,25,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,26,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,27,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,28,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,29,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,30,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,31,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,32,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,33,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,34,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,35,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,36,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,37,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,38,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,39,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,40,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,41,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,42,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,43,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,44,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,45,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,46,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,47,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,48,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,49,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,50,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,51,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,52,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,53,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,54,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,55,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,56,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,57,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,58,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,59,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,60,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,61,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,62,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,63,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,64,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,65,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,66,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,67,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,68,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,69,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,70,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,71,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,72,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,73,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,74,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,75,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,76,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,77,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,78,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,79,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,80,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,81,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,82,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,83,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,84,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,85,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,86,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,87,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,88,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,89,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,90,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,91,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,92,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,93,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,94,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,95,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,96,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,97,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,98,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,99,1
"study2","primary_q2","primary_proxy_dimension","published_fit","UC-GP",,100,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,1,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,2,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,3,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,4,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,5,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,6,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,7,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,8,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,9,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,10,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,11,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,12,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,13,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,14,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,15,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,16,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,17,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,18,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,19,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,20,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,21,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,22,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,23,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,24,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,25,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,26,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,27,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,28,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,29,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,30,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,31,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,32,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,33,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,34,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,35,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,36,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,37,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,38,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,39,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,40,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,41,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,42,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,43,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,44,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,45,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,46,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,47,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,48,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,49,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,50,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,51,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,52,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,53,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,54,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,55,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,56,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,57,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,58,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,59,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,60,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,61,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,62,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,63,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,64,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,65,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,66,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,67,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,68,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,69,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,70,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,71,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,72,1
"study2","primary_q2","primary_proxy_dimension","published_fit","LVGP",,73,1
